Barijho,Antonio Barijho,Antonio Daniel Barijho,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Inferiores,Destino,"Huracán,Boca Juniors,Grasshopper (Suiza),Saturn (Rusia),Banfield,BArcelona (Ecuador),Independiente,Dep. Merlo",Biografía,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjExRQATXq2vQQ-JHIY5yxHHOc4Dz7-WIdZNZ5KtPc6pKtSF3fE1sQa1anZkxCGVUiTGH8HPgMX1sA4mKfcKVVFJGCbnZxtARVZ3XgVW62LeudVNe4ZjrXOHcC4B8Qtfye6m11tbebMd9El/s200/Barijho+Antonio+3.jpg,Foto2
Barovero,Marcelo Barovero,Marcelo Alberto Barovero,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Atl. Rafaela,Vélez Sarsfield,"Atl. Rafaela,Huracán,Vélez Sarsfield,River Plate,Necaxa (México),Monterrey (México),Burgos (España),Atl. San Luis (México),Banfield",Biografía,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi_nohruxiyKNRPoCHD2FXAgwvkEVdOfTCSjuQh-w9xwuSHN0XaFmBDQcSY_Kp-dF8CVruOjbdQGVoyivU7O55AWjcjLnJw_X8J6KB0_1Jv8IIPA1RwquOvdOF_XQPmWxNRE_mFVNaC7OUM/w400-h600/Barovero+Marcelo.jpg,Foto2
Barrales,Jerónimo Barrales,Jerónimo Barrales,Posición,28/01/1986,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Unión (Santa Fe),Johor (Malasia),Trayectoria,Biografía,https://blogger.googleusercontent.com/img/a/AVvXsEgqUA24CfQEYivexuWWLWu2FBObrFlZq6l-P90wDotbTk3d8ASpFz7fnbUiH7YuwOE5apqd2IFtECBI34eKBAr6ZHufRe6_OutDzeGJy9m1JxO8BTBqsAZa9eSB7BU575SDRYcvH6wxn2bBm-wM6NuA_u4s4xv3KrhYTjSZ1LLYSC63G2z6K7f6WHGODzQM=w110-h147,Foto2
Barrientos,Hugo Barrientos,Hugo Alberto Barrientos,Posición,03/01/1977,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Procedencia,Newell's Old Boys (Rosario),Trayectoria,Biografía,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjEWQB3xntP6LuiMeIV61hYfMpr2sX6Vgi03JD_uSsaG-Pj7vuzItgUWI6GbGSUAWTFSp4h10ni5GVTidiwCvJ3T8uQaPZnFnKXEodvr5wsUxhqvfoqNNTsX1UCL6-cqbCEljyYCYQ1lNR5/w237-h270/Barrientos+Hugo.jpg,Foto2
Battaglia,Rodrigo Battaglia,Rodrigo Andrés Battaglia,Posición,12/07/1991,LugarNac,Argentina / Portugal / España,FechaMuerte,LugarMuerte,Peso,Altura,Inferiores,Racing Club,"Huracán,Racing Club,Sp. Braga (Portugal),Moreirense (Portugal),Rosario Central,GD Cháves (Portugal),Sporting Lisboa (Portugal),Alavés (España),Mallorca (España),Mineiro (Brasil),Boca Juniors",Biografía,https://blogger.googleusercontent.com/img/a/AVvXsEjqaLoxW8hLqIKll1IRepjg_ekvC8suEtOsyo-mIJEVQdPSDdLKkddXhtgjGDci5hAsWm_IvRR2WvSLB-28mbU-5_200hQaS5jIdVCFGrK3EpF16va9SNWxfoceCq4A9z6JdOSjtxRlZvAhOb4ZgbZuLit1z3Edk5gX_-ltmzH3sCT_eWUtWjXiXomZn2vA=w113-h151,https://blogger.googleusercontent.com/img/a/AVvXsEhUdNF0nSDVJCtWBUMX9Id4JtrIcoRRexguDrme2kzZ89HRr0qQ6Xef1-gV2MoJEyjTaw3JuKyO3Oiv7eVqOH4jWCpUQgzEItsFNp25kBKQkkFHJgX8Oc2m4yfPlUP4te5Ehck8MXrAPAcz2j5oDNrCc-TnpyS2kmodjZGT37TB0HCBuz5mPAAqJr4k4Adx=w400-h600
Benegas,Leandro Benegas,Leandro Iván Benegas,Posición,27/11/1988,Godoy Cruz (Mendoza),Argentina,FechaMuerte,LugarMuerte,Peso,Altura,River Plate,Destino,"River Plate,Ind. Rivadavia (Mendoza),Huracán,CAI (Cro. Rivadavia),Armenio,Laferrere,Unión La Calera (Chile),Univ. de Chile,Audax Italiano (Chile),Palestino (Chile),Curicó Unido (Chile),Independiente,Colo Colo (Chile),Unión Española (Chile),O’Higgins (Chile)","El 'Tanque' comenzó a jugar en Independiente Rivadavia (2006-09) y de allí pasó a las inferiores de River Plate (2007).  Volvió a su equipo mendocino y luego recaló en Huracán (2009-10). En el campeonato posterior pasó a Comisión de Actividades Infantiles.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjfY4ntvG-aqJ5OUGiRk5Pjwbp39rVc7j1JosyYkBCdBOhE770RX6pTRgXVWXZVTsc4bEOnVzwM8HFHUGmkpX4PHGdD1eKtPlt9ZbXeLDQ-qHPAqu5BpSrsqcNr4J6qyaKKbpGVCoKM2BFd/w110-h141/Benegas+Leandro+2.JPG,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEglp24I6LLLxITm4CG5KhHkWE_GA9w2SGXdM6rSYPjnhyphenhyphenA37jnHagD9Jl64EfEKjMR36fqwVjQn6Ll0Umy0FElPI67lNUDmMXHH6uZPbZ287shKXrDCLWvDZMqTxNswcXTq_3P9VEEfvdjb/w400-h600/Benegas+Leandro.jpg
Beraldi,Gastón Beraldi,Gastón Esteban Beraldi,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Platense,Destino,"San Telmo,Nueva Chicago,Quilmes,Barracas Central,Platense,Huracán,Tristán Suárez","El defensor nació el 9 de julio de 1982, en Buenos Aires. Se inició en San Telmo (2000-02), en Primera B, dando el salto a Primera con Nueva Chicago (2002-04). Luego pasó a Quilmes (2004-06) y se dedicó a los campeonatos intercountries hasta que volvió a la AFA con Barracas Central (2006-07) y su figura reapareció con Platense (2007-08). Luego recaló en Huracán (2008-09), donde fue subcampeón del torneo Clausura de 2009 sin jugar demasiado.",https://blogger.googleusercontent.com/img/a/AVvXsEiQe2y42PqFmnQADPlcI7xLHJrCmcRzpqeZ5J8BoXKCXD2DYNdl8ORteIFiUKs0tyXrzRz2yGhQt4e3SdyaxWaLaCj7Q2ZUWg4DRkBq5H0r-JhTc_AENjLZMAxPmjNcjU58LIhW-x-6N_2cHH0i51sDOMocu2t1K03O8xk4vhVkWjPaJiYO0rTYRHGlva9-=w132-h131,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhkxE5SA1-PUZDfkoYuhpBmc8YPrbCKXW7kJR6Kwg2p3oYiPm2TA6Qy11S9HCrMKn206Zrq52yBzdsOintfcvb16Kil-XuIbJUkmIQQoBoGAjvR_OeW26865NGwpe5WuTf2Wmdlt5FkzYjJ/w400-h600/BERALDI+-+2009+.jpg
Bilotti,Bruno Bilotti,Bruno Nahuel Bilotti,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Inferiores,Destino,Trayectoria,Biografía,Foto1,Foto2
Bogado,Mauro Bogado,Mauro Ezequiel Bogado,Posición,FechaNac,LugarNac,País,FechaMuerte,LugarMuerte,Peso,Altura,San Martín (San Juan),Destino,Trayectoria,Biografía,Foto1,Foto2
Bolatti,Mario Bolatti,Mario Ariel Bolatti,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Porto (Portugal),Fiorentina (Italia),"Belgrano (Córdoba), Porto (Portugal), Huracán, Fiorentina (Italia), Inter (Brasil), Racing Club, Botafogo (Brasil), Boca Unidos (Corrientes)",Biografía,https://blogger.googleusercontent.com/img/a/AVvXsEgAStBmMNW5icT6cm4bf2urnkq7_jgktwue-BPO1VO-zNcXc5nzg8A2p6bmyGUqpRGBJrOnC7yPOFWBEEJ7xze1lZDEYYSUeIwPatTKUQPz6n6fjNfjxbV5zkGbRHTUybtDN5SZrcK9Igy321oU_ZegT7vTcuA2DX31Nhl0CrvGUktZt_yXonJ-KEWir0Qt=w107-h144,Foto2
